Dungar Druid,Secret Hunter,Handbuff Paladin,Zarimi Priest,0.5591912945478811,
Dungar Druid,Secret Hunter,Elemental Mage,Handbuff Paladin,0.5538476732482113,
Dungar Druid,Elemental Mage,Handbuff Paladin,Zarimi Priest,0.5501596344220634,
Dungar Druid,Handbuff Paladin,Zarimi Priest,Cycle Rogue,0.5491503897657127,
Dungar Druid,Secret Hunter,Zarimi Priest,Cycle Rogue,0.5481985141530094,
Dungar Druid,Secret Hunter,Handbuff Paladin,Cycle Rogue,0.5466213766259519,
Secret Hunter,Elemental Mage,Handbuff Paladin,Zarimi Priest,0.5457505166075352,
Secret Hunter,Handbuff Paladin,Zarimi Priest,Cycle Rogue,0.5457011106213968,
Dungar Druid,Secret Hunter,Elemental Mage,Zarimi Priest,0.5447585942097748,
Dungar Druid,Elemental Mage,Handbuff Paladin,Cycle Rogue,0.5442147634100658,
Dungar Druid,Secret Hunter,Elemental Mage,Cycle Rogue,0.5426275028060636,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Handbuff Paladin,0.5414599393468388,
Secret Hunter,Elemental Mage,Handbuff Paladin,Cycle Rogue,0.5413355914680932,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Zarimi Priest,0.5410111122252768,
Dungar Druid,Elemental Mage,Zarimi Priest,Cycle Rogue,0.540581993222131,
Elemental Mage,Handbuff Paladin,Zarimi Priest,Cycle Rogue,0.5403164134656515,
Dungar Druid,Secret Hunter,Handbuff Paladin,Asteroid Shaman,0.5402055523281268,
Dungar Druid,Secret Hunter,Handbuff Paladin,Control Warrior,0.5386041847399586,
Dungar Druid,Handbuff Paladin,Zarimi Priest,Asteroid Shaman,0.5385893987546613,
Dungar Druid,Secret Hunter,Handbuff Paladin,Highlander Warrior,0.538414341402975,
Dungar Druid,Handbuff Paladin,Zarimi Priest,Control Warrior,0.5378442046904416,
Dungar Druid,Handbuff Paladin,Zarimi Priest,Highlander Warrior,0.5372190155056303,
Rainbow Death Knight,Secret Hunter,Handbuff Paladin,Zarimi Priest,0.5369333485137944,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Zarimi Priest,0.536930754114037,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Handbuff Paladin,0.5362797879765103,
Dungar Druid,Elemental Mage,Handbuff Paladin,Asteroid Shaman,0.5354059958851348,
Secret Hunter,Elemental Mage,Zarimi Priest,Cycle Rogue,0.5347490511000225,
Dungar Druid,Elemental Mage,Handbuff Paladin,Control Warrior,0.5332838116922828,
Dungar Druid,Elemental Mage,Handbuff Paladin,Highlander Warrior,0.5330614088665659,
Dungar Druid,Secret Hunter,Zarimi Priest,Asteroid Shaman,0.5328995133161948,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Handbuff Paladin,0.5323345385585936,
Secret Hunter,Handbuff Paladin,Zarimi Priest,Asteroid Shaman,0.5322090427341678,
Dungar Druid,Secret Hunter,Zarimi Priest,Control Warrior,0.5321715285878187,
Secret Hunter,Handbuff Paladin,Zarimi Priest,Control Warrior,0.53195782571245,
Dungar Druid,Secret Hunter,Zarimi Priest,Highlander Warrior,0.5316914779676756,
Secret Hunter,Handbuff Paladin,Zarimi Priest,Highlander Warrior,0.5315480550731476,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Elemental Mage,0.5312346323053215,0.5312346323053215
Rainbow Death Knight,Elemental Mage,Handbuff Paladin,Zarimi Priest,0.5303170309725106,
Secret Hunter,Elemental Mage,Handbuff Paladin,Asteroid Shaman,0.5294225754650682,
Dungar Druid,Secret Hunter,Elemental Mage,Asteroid Shaman,0.5287086178955918,
Elemental Mage,Handbuff Paladin,Zarimi Priest,Asteroid Shaman,0.5282153825917035,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Zarimi Priest,0.5281586977503355,
Elemental Mage,Handbuff Paladin,Zarimi Priest,Control Warrior,0.5278226887284503,
Secret Hunter,Elemental Mage,Handbuff Paladin,Control Warrior,0.527646852871609,
Secret Hunter,Elemental Mage,Handbuff Paladin,Highlander Warrior,0.527589158899888,
Elemental Mage,Handbuff Paladin,Zarimi Priest,Highlander Warrior,0.5273329663508229,
Dungar Druid,Secret Hunter,Elemental Mage,Control Warrior,0.5269555906119193,
Dungar Druid,Secret Hunter,Elemental Mage,Highlander Warrior,0.5267422372869076,
Dungar Druid,Elemental Mage,Zarimi Priest,Asteroid Shaman,0.5253751591012206,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Cycle Rogue,0.5252264682451094,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Cycle Rogue,0.5242687229419801,
Dungar Druid,Elemental Mage,Zarimi Priest,Control Warrior,0.5242434756305289,
Rainbow Death Knight,Dungar Druid,Zarimi Priest,Cycle Rogue,0.5241807986824437,
Dungar Druid,Elemental Mage,Zarimi Priest,Highlander Warrior,0.5236616557786069,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Zarimi Priest,0.5234412618597851,
Rainbow Death Knight,Secret Hunter,Handbuff Paladin,Cycle Rogue,0.5222274939648212,
Rainbow Death Knight,Handbuff Paladin,Zarimi Priest,Cycle Rogue,0.5221287724679863,
Dungar Druid,Handbuff Paladin,Cycle Rogue,Asteroid Shaman,0.5215552662957136,
Rainbow Death Knight,Secret Hunter,Zarimi Priest,Cycle Rogue,0.5197534376292915,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Cycle Rogue,0.5192993919679304,
Dungar Druid,Secret Hunter,Cycle Rogue,Asteroid Shaman,0.5192410455361978,
Secret Hunter,Elemental Mage,Zarimi Priest,Asteroid Shaman,0.519230901023684,
Secret Hunter,Elemental Mage,Zarimi Priest,Control Warrior,0.5186350452076871,
Secret Hunter,Elemental Mage,Zarimi Priest,Highlander Warrior,0.5182631573977152,
Rainbow Death Knight,Elemental Mage,Handbuff Paladin,Cycle Rogue,0.5174197746947664,
Dungar Druid,Zarimi Priest,Cycle Rogue,Asteroid Shaman,0.5173425723881926,
Secret Hunter,Handbuff Paladin,Cycle Rogue,Asteroid Shaman,0.5171802124462185,
Handbuff Paladin,Zarimi Priest,Cycle Rogue,Asteroid Shaman,0.5159571344479478,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Asteroid Shaman,0.5158595456806958,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Cycle Rogue,0.5150828013827187,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Control Warrior,0.5141586952903621,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Highlander Warrior,0.5138016519636946,
Dungar Druid,Elemental Mage,Cycle Rogue,Asteroid Shaman,0.5137649731860325,
Dungar Druid,Zarimi Priest,Cycle Rogue,Control Warrior,0.51346235557912,
Rainbow Death Knight,Elemental Mage,Zarimi Priest,Cycle Rogue,0.5134282185789402,
Dungar Druid,Secret Hunter,Cycle Rogue,Control Warrior,0.5131849070575534,
Elemental Mage,Handbuff Paladin,Cycle Rogue,Asteroid Shaman,0.5130170544764373,
Dungar Druid,Handbuff Paladin,Cycle Rogue,Control Warrior,0.5127555275099634,
Secret Hunter,Zarimi Priest,Cycle Rogue,Asteroid Shaman,0.5109968322247691,
Dungar Druid,Secret Hunter,Cycle Rogue,Highlander Warrior,0.5109879793205163,
Dungar Druid,Zarimi Priest,Cycle Rogue,Highlander Warrior,0.5109400202254928,
Handbuff Paladin,Zarimi Priest,Cycle Rogue,Control Warrior,0.510899488552877,
Dungar Druid,Handbuff Paladin,Cycle Rogue,Highlander Warrior,0.5104217935342226,
Secret Hunter,Handbuff Paladin,Cycle Rogue,Control Warrior,0.5102017956877862,
Rainbow Death Knight,Secret Hunter,Handbuff Paladin,Asteroid Shaman,0.5098784458420604,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Asteroid Shaman,0.5090262753195717,
Rainbow Death Knight,Secret Hunter,Handbuff Paladin,Control Warrior,0.5084663317707937,
Handbuff Paladin,Zarimi Priest,Cycle Rogue,Highlander Warrior,0.5083735034179729,
Rainbow Death Knight,Secret Hunter,Handbuff Paladin,Highlander Warrior,0.5083587700041188,
Secret Hunter,Elemental Mage,Cycle Rogue,Asteroid Shaman,0.5082278504001904,
Rainbow Death Knight,Handbuff Paladin,Zarimi Priest,Asteroid Shaman,0.5080815168737981,
Secret Hunter,Handbuff Paladin,Cycle Rogue,Highlander Warrior,0.507990898418513,
Secret Hunter,Zarimi Priest,Cycle Rogue,Control Warrior,0.5077480233605969,
Dungar Druid,Elemental Mage,Cycle Rogue,Control Warrior,0.5074683278689264,
Rainbow Death Knight,Dungar Druid,Zarimi Priest,Asteroid Shaman,0.5072379586332223,
Rainbow Death Knight,Handbuff Paladin,Zarimi Priest,Control Warrior,0.507152398236328,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Control Warrior,0.5069775781717953,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Highlander Warrior,0.5067040277802999,
Rainbow Death Knight,Handbuff Paladin,Zarimi Priest,Highlander Warrior,0.5064857312064889,
Elemental Mage,Zarimi Priest,Cycle Rogue,Asteroid Shaman,0.5064330022899223,
Rainbow Death Knight,Elemental Mage,Handbuff Paladin,Asteroid Shaman,0.5059496800474802,
Elemental Mage,Handbuff Paladin,Cycle Rogue,Control Warrior,0.5057306711192701,
Rainbow Death Knight,Dungar Druid,Zarimi Priest,Control Warrior,0.5056487916607801,
Secret Hunter,Zarimi Priest,Cycle Rogue,Highlander Warrior,0.5054522782287784,
Dungar Druid,Elemental Mage,Cycle Rogue,Highlander Warrior,0.5049670720503827,
Rainbow Death Knight,Dungar Druid,Zarimi Priest,Highlander Warrior,0.5049132032828424,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Asteroid Shaman,0.5046578461561072,
Rainbow Death Knight,Elemental Mage,Handbuff Paladin,Control Warrior,0.5044006311651249,
Rainbow Death Knight,Elemental Mage,Handbuff Paladin,Highlander Warrior,0.5042143900709619,
Elemental Mage,Handbuff Paladin,Cycle Rogue,Highlander Warrior,0.5034623777851275,
Rainbow Death Knight,Secret Hunter,Zarimi Priest,Asteroid Shaman,0.5032209886542665,
Elemental Mage,Zarimi Priest,Cycle Rogue,Control Warrior,0.5027058356710425,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Control Warrior,0.5026046903040451,
Secret Hunter,Elemental Mage,Cycle Rogue,Control Warrior,0.5025926938748232,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Highlander Warrior,0.5023056877764328,
Rainbow Death Knight,Secret Hunter,Zarimi Priest,Control Warrior,0.5022278777159136,
Rainbow Death Knight,Secret Hunter,Zarimi Priest,Highlander Warrior,0.5017911504830898,
Elemental Mage,Zarimi Priest,Cycle Rogue,Highlander Warrior,0.500514644523547,
Secret Hunter,Elemental Mage,Cycle Rogue,Highlander Warrior,0.5004594903439569,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Asteroid Shaman,0.500003033122853,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Control Warrior,0.4984998192961299,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Highlander Warrior,0.49840764959778244,
Rainbow Death Knight,Elemental Mage,Zarimi Priest,Asteroid Shaman,0.49704000536453347,
Rainbow Death Knight,Dungar Druid,Cycle Rogue,Asteroid Shaman,0.49677753935902275,
Rainbow Death Knight,Elemental Mage,Zarimi Priest,Control Warrior,0.4959863239486032,
Rainbow Death Knight,Handbuff Paladin,Cycle Rogue,Asteroid Shaman,0.49567065179838465,
Rainbow Death Knight,Elemental Mage,Zarimi Priest,Highlander Warrior,0.4955643836260987,
Dungar Druid,Handbuff Paladin,Asteroid Shaman,Control Warrior,0.49324645788831545,
Rainbow Death Knight,Dungar Druid,Cycle Rogue,Control Warrior,0.4916082897226181,
Rainbow Death Knight,Secret Hunter,Cycle Rogue,Asteroid Shaman,0.49094368871570593,
Rainbow Death Knight,Dungar Druid,Cycle Rogue,Highlander Warrior,0.4897312507216168,
Secret Hunter,Handbuff Paladin,Asteroid Shaman,Control Warrior,0.48904141445978677,
Rainbow Death Knight,Handbuff Paladin,Cycle Rogue,Control Warrior,0.4888965829966756,
Rainbow Death Knight,Zarimi Priest,Cycle Rogue,Asteroid Shaman,0.4886102195924374,
Dungar Druid,Secret Hunter,Asteroid Shaman,Control Warrior,0.4872684451075645,
Rainbow Death Knight,Handbuff Paladin,Cycle Rogue,Highlander Warrior,0.48718406684469207,
Handbuff Paladin,Zarimi Priest,Asteroid Shaman,Control Warrior,0.48680671058704567,
Rainbow Death Knight,Secret Hunter,Cycle Rogue,Control Warrior,0.48598307085771436,
Rainbow Death Knight,Zarimi Priest,Cycle Rogue,Control Warrior,0.485537097940319,
Rainbow Death Knight,Elemental Mage,Cycle Rogue,Asteroid Shaman,0.48537130269457696,
Dungar Druid,Zarimi Priest,Asteroid Shaman,Control Warrior,0.4850451292757328,
Elemental Mage,Handbuff Paladin,Asteroid Shaman,Control Warrior,0.4845742061552405,
Rainbow Death Knight,Secret Hunter,Cycle Rogue,Highlander Warrior,0.4842527999581932,
Dungar Druid,Handbuff Paladin,Asteroid Shaman,Highlander Warrior,0.48423590729818794,
Rainbow Death Knight,Zarimi Priest,Cycle Rogue,Highlander Warrior,0.48354986778811243,
Secret Hunter,Zarimi Priest,Asteroid Shaman,Control Warrior,0.48190772831834067,
Dungar Druid,Elemental Mage,Asteroid Shaman,Control Warrior,0.4817622395266171,
Secret Hunter,Handbuff Paladin,Asteroid Shaman,Highlander Warrior,0.4807773579919927,
Rainbow Death Knight,Elemental Mage,Cycle Rogue,Control Warrior,0.48063913230485683,
Dungar Druid,Secret Hunter,Asteroid Shaman,Highlander Warrior,0.48049745628149054,
Secret Hunter,Elemental Mage,Asteroid Shaman,Control Warrior,0.47942077170636427,
Rainbow Death Knight,Elemental Mage,Cycle Rogue,Highlander Warrior,0.4788278030121132,
Handbuff Paladin,Zarimi Priest,Asteroid Shaman,Highlander Warrior,0.4772058138647322,
Handbuff Paladin,Cycle Rogue,Asteroid Shaman,Control Warrior,0.47698771669673384,
Dungar Druid,Cycle Rogue,Asteroid Shaman,Control Warrior,0.47591350285565553,
Dungar Druid,Zarimi Priest,Asteroid Shaman,Highlander Warrior,0.4756504379465759,
Elemental Mage,Zarimi Priest,Asteroid Shaman,Control Warrior,0.4754730880172988,
Elemental Mage,Handbuff Paladin,Asteroid Shaman,Highlander Warrior,0.47509504693041343,
Dungar Druid,Elemental Mage,Asteroid Shaman,Highlander Warrior,0.4734584380034434,
Secret Hunter,Zarimi Priest,Asteroid Shaman,Highlander Warrior,0.4732645133815444,
Secret Hunter,Elemental Mage,Asteroid Shaman,Highlander Warrior,0.4719415376654487,
Secret Hunter,Cycle Rogue,Asteroid Shaman,Control Warrior,0.47186138833883134,
Zarimi Priest,Cycle Rogue,Asteroid Shaman,Control Warrior,0.4679735266912582,
Elemental Mage,Zarimi Priest,Asteroid Shaman,Highlander Warrior,0.4677358137760576,
Rainbow Death Knight,Handbuff Paladin,Asteroid Shaman,Control Warrior,0.46563660533485685,
Handbuff Paladin,Cycle Rogue,Asteroid Shaman,Highlander Warrior,0.4654608663447936,
Dungar Druid,Cycle Rogue,Asteroid Shaman,Highlander Warrior,0.4654290262414641,
Elemental Mage,Cycle Rogue,Asteroid Shaman,Control Warrior,0.4652510591338286,
Rainbow Death Knight,Dungar Druid,Asteroid Shaman,Control Warrior,0.4638788847356828,
Secret Hunter,Cycle Rogue,Asteroid Shaman,Highlander Warrior,0.46216574955371204,
Rainbow Death Knight,Secret Hunter,Asteroid Shaman,Control Warrior,0.4602507468635386,
Zarimi Priest,Cycle Rogue,Asteroid Shaman,Highlander Warrior,0.4578879232136126,
Rainbow Death Knight,Zarimi Priest,Asteroid Shaman,Control Warrior,0.4574623639778846,
Rainbow Death Knight,Handbuff Paladin,Asteroid Shaman,Highlander Warrior,0.4563585423991045,
Rainbow Death Knight,Dungar Druid,Asteroid Shaman,Highlander Warrior,0.4559429147210863,
Elemental Mage,Cycle Rogue,Asteroid Shaman,Highlander Warrior,0.4552155143172349,
Rainbow Death Knight,Elemental Mage,Asteroid Shaman,Control Warrior,0.454913895438772,
Rainbow Death Knight,Secret Hunter,Asteroid Shaman,Highlander Warrior,0.45278611061260016,
Rainbow Death Knight,Cycle Rogue,Asteroid Shaman,Control Warrior,0.44951425516782784,
Rainbow Death Knight,Zarimi Priest,Asteroid Shaman,Highlander Warrior,0.4492980792132054,
Rainbow Death Knight,Elemental Mage,Asteroid Shaman,Highlander Warrior,0.44651762288383495,
Rainbow Death Knight,Cycle Rogue,Asteroid Shaman,Highlander Warrior,0.43926655704172596,
